Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
71015_Make a Payment,Chrome 67.0.3396.99,,2018-07-10 22:10:01,2018-07-10 22:10:32,30.716s,PASSED
,,,,,,
Test Cases/71015_Make Payment/71275_Verify Pay now button is clickable and user navigate to Payment screen,Chrome 67.0.3396.99,,2018-07-10 22:10:02,2018-07-10 22:10:32,30.193s,PASSED
openBrowser,Chrome 67.0.3396.99,Launch Browser,2018-07-10 22:10:03,2018-07-10 22:10:06,3.522s,PASSED
navigateToUrl,Chrome 67.0.3396.99,Navigate to TPP URL ,2018-07-10 22:10:06,2018-07-10 22:10:09,3.027s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 22:10:09,2018-07-10 22:10:09,0.076s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 22:10:09,2018-07-10 22:10:14,5.245s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 22:10:14,2018-07-10 22:10:14,0.032s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 22:10:14,2018-07-10 22:10:15,0.270s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-10 22:10:15,2018-07-10 22:10:15,0.213s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 22:10:15,2018-07-10 22:10:15,0.111s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-10 22:10:15,2018-07-10 22:10:28,12.488s,PASSED
verifyElementNotClickable,Chrome 67.0.3396.99,,2018-07-10 22:10:28,2018-07-10 22:10:28,0.083s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 22:10:28,2018-07-10 22:10:28,0.298s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 22:10:28,2018-07-10 22:10:30,2.137s,PASSED
verifyElementClickable,Chrome 67.0.3396.99,,2018-07-10 22:10:30,2018-07-10 22:10:30,0.053s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 22:10:30,2018-07-10 22:10:30,0.340s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 22:10:30,2018-07-10 22:10:31,0.210s,PASSED
click,Chrome 67.0.3396.99,,2018-07-10 22:10:31,2018-07-10 22:10:31,0.130s,PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-10 22:10:31,2018-07-10 22:10:31,0.035s,PASSED
takeScreenshot,Chrome 67.0.3396.99,,2018-07-10 22:10:31,2018-07-10 22:10:31,0.305s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-10 22:10:31,2018-07-10 22:10:32,1.066s,PASSED
